params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_train_balanced_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,mean_train_precision_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,mean_train_recall_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
"{'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.1}",0.8243724725164416,0.005289756477353266,1,0.8945878987747473,0.8348261009471558,0.00524867768175314,9,0.9081784002457238,0.9143413764412219,0.00479763802267654,18,0.974715961597276,0.7923203766647444,0.00681240498857523,2,0.8529171994628243,0.848951810726278,0.00483775127245819,1,0.9097568035423125,0.8166166002067164,0.005072777077450035,6,0.8866421032019292,0.8348261009471558,0.00524867768175314,9,0.9081784002457238,0.8195894190560905,0.005324292421477377,1,0.8915227319761986,0.9060725461415483,0.003653718618670017,3,0.952240942093335
"{'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.1}",0.8240188520682089,0.006621341670743246,2,0.8850039736840533,0.8359776072017884,0.0066292944020129255,4,0.8993981909998894,0.9185267002109357,0.005559125939913297,15,0.9706141770508653,0.7873520370718892,0.007445998606588799,6,0.8408687522743603,0.8478831678958212,0.005992027666958605,3,0.9010922072166817,0.817147929604564,0.006376129748509598,3,0.8776271363046451,0.8359776072017884,0.0066292944020129255,4,0.8993981909998894,0.8195739950647788,0.006681713810682066,2,0.8818780920545961,0.9062217814365775,0.0034900755659585904,1,0.9460678748808137
"{'model__n_estimators': 100, 'model__max_depth': 7, 'model__learning_rate': 0.2}",0.8238419098925173,0.005466246533430106,3,0.886363644861927,0.8357430500726277,0.005295159793883584,5,0.9009813992537385,0.9182277249580595,0.0045131238583749405,16,0.9723298912715015,0.7873520622661812,0.007081212132483568,5,0.841543063310446,0.8477525100423773,0.005071363841465033,4,0.9022158159916396,0.8169473199051488,0.005141326241082369,5,0.879067566556014,0.8357430500726277,0.005295159793883584,5,0.9009813992537385,0.8193816406370094,0.0054682972302143714,3,0.88329536526173,0.9047145093506026,0.003283090566794677,7,0.9465746385547005
"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",0.8233554288690108,0.004992388486925129,4,0.862221453680513,0.837042192819623,0.0041873302249223155,3,0.8777040566987522,0.9232681179731717,0.00259408561034229,13,0.9577908623311083,0.7813901857650738,0.008027082243934591,7,0.8147490711920196,0.8464025917630533,0.004967142870676725,7,0.8804893904804052,0.8176407595985594,0.004226709534018313,2,0.8561531479520514,0.837042192819623,0.0041873302249223155,3,0.8777040566987522,0.8192793806830192,0.004856919269194865,4,0.8589229572129415,0.9061261857228876,0.0034236801010422324,2,0.9329265994378197
"{'model__n_estimators': 100, 'model__max_depth': 7, 'model__learning_rate': 0.1}",0.8230460170856764,0.005090425872778709,6,0.8654602997637711,0.8375581226731785,0.004976904481464868,1,0.8818429485445674,0.9255805290437221,0.004227730862314191,10,0.9631520531485638,0.7785509402131889,0.006261721192344505,9,0.8152281469511781,0.8457116601587045,0.004731737032032801,8,0.8830330411742262,0.8178944734837408,0.0047666050889959895,1,0.8598296312833625,0.8375581226731785,0.004976904481464868,1,0.8818429485445674,0.8191393909445799,0.005095644947830352,5,0.862352233569811,0.9053296560642344,0.0036185015857943216,4,0.9353468953587815
"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8228690260390307,0.005221724672383501,7,0.8840533236787419,0.8343832237090231,0.004470741910906652,11,0.8982012094557266,0.9163576618592038,0.0034705191551240738,17,0.969118106889822,0.78756502961715,0.008611972377913344,4,0.8406736051539845,0.8470651275182777,0.005161984292245117,6,0.9003348566409908,0.8157977468295851,0.0045465369844021756,9,0.8765817767001269,0.8343832237090231,0.004470741910906652,11,0.8982012094557266,0.8183113722252733,0.005085053403276993,6,0.8808735106054728,0.9048915703001127,0.0029333340364985404,6,0.9453144930810377
"{'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.2}",0.8230901866538117,0.00422972090963372,5,0.900612403874599,0.8325471067670811,0.004312058086307288,13,0.9138355300031623,0.9105130726318812,0.004848621581056905,20,0.9777107848246882,0.7940949114332454,0.006322321789266866,1,0.8600681818510975,0.8483065641804043,0.0039018826531104114,2,0.9151231514518958,0.8148375886881395,0.004106073256988291,11,0.8924258793093032,0.8325471067670811,0.004312058086307288,13,0.9138355300031623,0.8180547864795022,0.004258314866368052,7,0.8976198417196961,0.9034764994206524,0.0030458441106915634,11,0.9583450887515781
"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8225595947073148,0.0047830708256731864,8,0.8940904712734176,0.8324682611103592,0.004497369603460297,14,0.90731623221161,0.91140949178012,0.0038013060100263265,19,0.9731576237961974,0.7921785831889071,0.006789840580896404,3,0.8535382639418485,0.8476053291853326,0.004495977368343326,5,0.9094289429421156,0.8145557197101494,0.004460534722354942,12,0.8860090591271688,0.8324682611103592,0.004497369603460297,14,0.90731623221161,0.8176279700912172,0.0047526187638738645,8,0.8909627569309869,0.9042423099797272,0.0031829079947673193,10,0.9519337593237369
"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8215424435437854,0.004578620862841932,9,0.8649628649305827,0.8352166407573456,0.0038948406607096256,8,0.8806508976303615,0.9218888205515305,0.0037397626692347486,14,0.9604735292788675,0.7796157769680332,0.008135415439511979,8,0.8168606646034255,0.844773182159163,0.004631549029120232,9,0.8828583195008024,0.8159064683962829,0.0038655541988752156,8,0.858917548219561,0.8352166407573456,0.0038948406607096256,8,0.8806508976303615,0.8174435681054618,0.004443173749034166,9,0.8617344149319133,0.9049626547893261,0.0028917772131293604,5,0.9335141366844308
"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1}",0.821321429541866,0.006153909192557933,10,0.8443801004608819,0.8357106966136149,0.004930994079718497,6,0.8595938287616229,0.9238941185783475,0.002023297920225916,12,0.9437721911912622,0.7772025417009625,0.010179901098795945,10,0.7977322955040348,0.8441887422759994,0.006234580485800404,10,0.8646211921193053,0.8162005308019327,0.005003756032838371,7,0.8388154341574658,0.8357106966136149,0.004930994079718497,6,0.8595938287616229,0.8173767486134572,0.005947080155176762,10,0.8408195348696493,0.9043499513423783,0.00301962622565331,8,0.921022566210017
